Rank,Title,Username,Rating,Score,Performance,Team
514,,JohanDelta,1088,2,1413,
515,,Angel_Toledo,1536,2,1368,
516,,Literalmebte,1338,2,1359,
517,,DeLaGhetto,1239,2,1314,
518,,SNHEIDER10,1987,2,1313,
519,,RkrK01,1287,2,1287,
520,,EROSNEITOR,1301,2,1286,
521,,DavidAndres87,1260,2,1264,
522,,Charls,1167,2,1253,
523,,cuindichete,1821,2,1213,
524,,buitragosoft,1361,2,1199,
525,,fvllamas,1150,2,1196,
526,,Bartolomeo_Kuma007,993,2,1173,
527,,pericoperolas,1221,2,1165,
528,,Regulus_M,1075,2,1143,
529,,Churrox,1245,2,1117,
530,,fachahue,1120,2,1110,
531,,antonionp05,836,2,1099,
532,,Emmanuelglez,1141,2,1089,
533,,chesstuka,910,2,1059,
534,,ZoRkiT,849,2,1038,
535,,Enrique_Salgado09,907,2,1037,
536,,pablo-gomez,1054,2,1033,
537,,Apadribloan,1184,2,1031,
538,,otrorafamas,1526,2,995,
539,,PaulitaAjsNemocon,1438,2,967,
540,,AJ_Faruzi,775,2,951,
541,,Alverty,939,2,928,
542,,Diego_9809,711,2,909,
543,,Adiel01,885,2,866,
544,,ManelPeroNoob,722,2,859,
545,,sebaslocutor,903,2,834,
546,,Rosy34,1126,2,776,
547,,GABRIELCAPTAIN,2190,1,2226,
548,,The_Kingofchess_2007,1936,1,1616,
549,,Manugross,1050,1,1240,
550,,Frank365_es,903,1,1208,
551,,ricsamma,1284,1,1046,
552,,peyello2p,1047,1,1027,
553,,Gdi7fhfk7fi,915,1,991,
554,,yoyack_cruz,890,1,749,
555,,franjedrez,2758,0,,
556,,PuesHoliOuO,2447,0,,
557,,sergi0medina,2405,0,,
558,,ElZeyega,2396,0,,
559,,Xonkeldi33,2355,0,,
560,,Titorajedrez,2308,0,,
561,,Rsmon54Terrible,2301,0,,
562,,askerick,2286,0,,
563,,Terriblefeline,2269,0,,
564,,strombeker,2260,0,,
565,,Tal_09Max,2233,0,,
566,,championdemala,2231,0,,
567,,Gera_tibu,2207,0,,
568,,Sergz-Posso,2200,0,,
569,,jcoira,2181,0,,
570,,Strategydead,2145,0,,
571,,BrawnyFerrett,2135,0,,
572,,GORA12,2134,0,,
573,,Daniiiiir21,2113,0,,
574,,Emanuel-2004,2107,0,,
575,,Darkwolf79,2106,0,,
576,,Javi92,2105,0,,
577,,DXargon,2101,0,,
578,,eresfeo8989,2100,0,,
579,,nelsonmegauwu,2086,0,,
580,,OscarFdezDguez,2082,0,,
581,,EST_221_ANGEL_RT,2074,0,,
582,,c0nst4ntine,2062,0,,
